brand_id,alias,module_id
6,pepsi,3
6,pepsi cola,3
10,pepsi diet,3
7,coca cola,3
7,coca-cola,3
7,coke,3
15,sprite,3
11,seven up,3
11,7up,3
12,cheetos,3
12,lay's,3
12,lays,3
19,almarai,3
19,al marai,3
80,kit kat,3
80,kitkat,3
143,nescafe,3
143,nescafe,3
22,fanta,3
18,rani,3
14,red bull,3
14,redbull,3
68,nestle,3
68,nestlé,3
72,oreo,3
112,indomie,3
118,lipton,3
120,twinings,3
120,twinings,3
437,diva,3
